Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1775869611.878,1775869617.688,1775869618.538
2,5,Blue,1775869622.068,1775869623.138,1775869624.228
1,6,White,1776131071.444,1776131077.824,1776131079.154
2,5,Blue,1776131083.024,1776131084.154,1776131086.324
1,6,White,1776131969.676,1776131972.996,1776131974.156
1,6,White,1776132543.022,1776132545.822,1776132546.712
2,5,Blue,1776132550.262,1776132551.292,1776132553.512
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776132825.917,1776132836.077,1776132853.727
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776133739.531,1776133741.021,1776133742.361
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776134080.882,1776134090.022,1776134094.642
2,5,Blue,1776134104.162,1776134107.002,1776134109.352
3,3,White,1776134117.392,1776134119.482,1776134125.812
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776135162.903,1776135163.953,1776135174.513
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776135588.741,1776135589.481,1776135598.861
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776136035.121,1776136036.111,1776136036.951
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776136070.565,1776136071.415,1776136072.185
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776186103.039,1776186105.169,1776186108.969
2,5,Blue,1776186116.679,1776186121.439,1776186127.789
3,3,White,1776186140.229,1776186146.199,1776186150.659
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776187332.341,1776187333.701,1776187340.291
2,5,Blue,1776187358.091,1776187361.551,1776187434.431
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776188445.783,1776188448.433,1776188459.873
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776188701.051,1776188702.861,1776188703.981
2,5,Blue,1776188709.191,1776188713.461,1776188714.911
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776189272.687,1776189274.487,1776189403.017
2,5,Blue,1776189406.947,1776189412.017,1776189413.957
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776190196.312,1776190231.412,1776190251.782
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776190658.383,1776190670.233,1776190681.613
2,5,Blue,1776190697.963,1776190713.543,1776190726.373
3,3,White,1776190739.723,1776190743.213,1776190763.563
4,8,Blue,1776190813.943,1776190818.343,1776190880.453
5,1,White,1776190893.933,1776190896.893,1776190905.543
6,2,Blue,1776190934.083,1776190939.933,1776190949.593
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776191989.035,1776191999.865,1776192014.475
2,5,Blue,1776192035.655,1776192047.755,1776192072.015
3,3,White,1776192118.835,1776192125.635,1776192139.445
4,8,Blue,1776192155.355,1776192159.355,1776192169.885
5,1,White,1776192179.395,1776192186.785,1776192193.695
6,2,Blue,1776192214.075,1776192224.355,1776192230.435
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776193024.578,1776193029.168,1776193039.768
2,5,Blue,1776193049.398,1776193052.408,1776193076.748
Trial,Target_Peg,Target_Color,Unix_Cue_Time,Unix_Lift_Time,Unix_Place_Time
1,6,White,1776193342.910,1776193392.120,1776193400.390
